member_id,age,gender,city,signup_channel,plan_type,engagement_level,join_date,cancel_date
51,45,female,Porto Alegre,instagram_ads,monthly,medium,2023-12-30,2024-04-07
52,46,male,Florianópolis,instagram_ads,monthly,medium,2019-03-28,
53,37,female,Florianópolis,organic,monthly,medium,2021-10-09,
54,31,female,Recife,walk_in,quarterly,medium,2023-11-07,
55,24,female,Recife,organic,monthly,low,2020-04-01,
56,22,male,São Paulo,organic,monthly,medium,2024-09-20,
57,31,female,São Paulo,instagram_ads,monthly,low,2022-08-10,2024-10-20
58,30,female,Rio de Janeiro,google_ads,monthly,medium,2024-09-26,2024-11-29
59,28,female,Curitiba,organic,quarterly,medium,2019-11-18,2023-06-29
60,28,female,Porto Alegre,referral,quarterly,medium,2020-05-22,
61,18,female,Rio de Janeiro,referral,quarterly,medium,2019-12-10,
62,60,male,Recife,organic,annual,medium,2019-05-12,
63,44,female,São Paulo,google_ads,monthly,medium,2024-05-29,
64,48,female,Curitiba,instagram_ads,monthly,medium,2023-01-30,2024-01-30
65,40,male,Florianópolis,organic,quarterly,medium,2018-10-24,
66,53,male,Recife,google_ads,monthly,medium,2024-02-16,2024-10-28
67,36,female,Florianópolis,organic,monthly,medium,2018-01-12,2022-05-11
68,30,male,Curitiba,organic,monthly,high,2020-01-03,
69,31,male,Recife,walk_in,monthly,medium,2019-03-20,
70,45,female,São Paulo,google_ads,annual,medium,2019-08-13,
71,19,female,Rio de Janeiro,referral,annual,medium,2019-11-17,2020-08-09
72,46,male,Curitiba,instagram_ads,quarterly,low,2024-09-05,
73,28,male,Porto Alegre,instagram_ads,annual,high,2020-10-06,
74,36,male,Curitiba,instagram_ads,monthly,medium,2022-05-13,
75,42,male,Rio de Janeiro,google_ads,monthly,low,2020-08-23,2024-03-20
76,43,male,Curitiba,google_ads,annual,medium,2024-03-25,
77,24,female,Curitiba,google_ads,quarterly,medium,2024-10-10,
78,22,male,Florianópolis,organic,monthly,medium,2022-03-22,
79,19,male,Rio de Janeiro,google_ads,monthly,low,2021-01-06,2021-07-24
80,26,male,São Paulo,referral,monthly,low,2022-02-25,2023-05-02
81,38,female,Rio de Janeiro,walk_in,monthly,medium,2021-10-23,2022-12-26
82,26,male,São Paulo,organic,quarterly,high,2018-10-15,
83,26,female,Rio de Janeiro,instagram_ads,quarterly,high,2023-10-11,
84,41,male,Rio de Janeiro,google_ads,annual,low,2024-12-14,
85,43,male,Recife,organic,quarterly,medium,2020-12-22,
86,41,male,Porto Alegre,organic,monthly,high,2020-07-22,
87,31,male,São Paulo,google_ads,monthly,low,2022-01-12,
88,24,female,São Paulo,instagram_ads,monthly,medium,2018-01-17,2022-11-18
89,44,female,Rio de Janeiro,organic,monthly,high,2021-01-02,
90,34,female,Porto Alegre,google_ads,annual,low,2021-10-18,2022-11-21
91,30,female,Porto Alegre,organic,quarterly,medium,2024-03-25,
92,21,male,Rio de Janeiro,referral,monthly,low,2018-08-02,2019-04-30
93,35,female,Porto Alegre,instagram_ads,monthly,low,2021-09-26,2024-01-17
94,35,male,São Paulo,organic,monthly,medium,2019-09-11,
95,40,male,Rio de Janeiro,organic,monthly,low,2019-04-17,
96,23,male,Rio de Janeiro,referral,monthly,high,2020-11-23,
97,19,female,Curitiba,google_ads,quarterly,low,2023-11-03,
98,25,male,Rio de Janeiro,referral,monthly,low,2022-03-19,2023-03-28
99,39,female,São Paulo,instagram_ads,quarterly,high,2024-12-17,
100,22,female,Florianópolis,organic,monthly,low,2020-10-30,
101,29,female,Florianópolis,instagram_ads,monthly,medium,2018-07-06,
102,29,male,Recife,google_ads,monthly,medium,2024-08-06,2024-11-14
103,24,female,Curitiba,referral,monthly,medium,2019-05-08,2024-09-08
104,61,female,Recife,organic,monthly,medium,2020-12-24,
105,20,male,Curitiba,instagram_ads,monthly,high,2023-02-27,
106,45,male,Rio de Janeiro,google_ads,monthly,low,2020-09-06,
107,44,male,Recife,walk_in,quarterly,high,2024-08-19,
108,18,female,São Paulo,walk_in,quarterly,high,2022-05-29,
109,32,male,Florianópolis,organic,monthly,high,2019-11-09,2020-08-04
110,22,male,Porto Alegre,organic,monthly,high,2021-11-11,
111,29,male,Recife,organic,monthly,high,2020-08-12,
112,35,female,Porto Alegre,walk_in,annual,medium,2023-02-03,
113,44,male,Curitiba,walk_in,annual,high,2020-04-25,
114,45,male,Florianópolis,google_ads,annual,low,2018-01-07,2018-08-31
115,47,male,Rio de Janeiro,referral,monthly,medium,2018-10-13,
116,22,female,Rio de Janeiro,organic,annual,low,2020-02-13,
117,23,female,Recife,google_ads,monthly,low,2018-03-13,
118,43,male,Recife,organic,annual,low,2019-05-18,
119,24,male,Porto Alegre,instagram_ads,quarterly,medium,2024-01-09,
120,64,female,São Paulo,referral,monthly,medium,2021-03-18,
121,45,male,Curitiba,referral,monthly,low,2021-07-22,2023-12-06
122,24,male,São Paulo,referral,monthly,high,2022-01-25,
123,27,male,Rio de Janeiro,referral,monthly,high,2022-12-16,
124,34,female,Recife,organic,quarterly,medium,2022-01-19,
125,44,male,Recife,instagram_ads,annual,medium,2018-08-01,
126,30,female,Curitiba,organic,monthly,high,2018-01-21,
127,32,male,Porto Alegre,google_ads,monthly,medium,2018-04-01,
128,33,male,São Paulo,google_ads,monthly,high,2024-06-16,
129,50,male,Porto Alegre,organic,monthly,high,2019-05-20,
130,36,male,Recife,organic,monthly,low,2021-03-09,2024-05-01
131,32,female,Porto Alegre,referral,quarterly,high,2022-02-17,2024-01-19
132,29,male,Recife,google_ads,annual,medium,2023-04-21,
133,46,male,São Paulo,organic,monthly,high,2018-08-28,
134,25,male,Florianópolis,walk_in,quarterly,low,2023-01-18,
135,46,female,São Paulo,organic,annual,low,2019-06-30,
136,23,female,Rio de Janeiro,organic,monthly,medium,2021-07-14,
137,31,male,Recife,referral,monthly,medium,2020-06-13,
138,43,male,Curitiba,google_ads,monthly,high,2022-05-16,
139,32,female,Florianópolis,referral,monthly,low,2022-04-08,2023-10-05
140,41,male,Florianópolis,google_ads,monthly,medium,2024-01-10,2024-10-21
141,24,male,Florianópolis,instagram_ads,monthly,low,2018-02-20,2022-11-16
142,62,male,Florianópolis,organic,quarterly,medium,2018-09-06,2022-07-17
143,59,female,São Paulo,instagram_ads,annual,low,2021-02-23,
144,29,female,Rio de Janeiro,organic,monthly,low,2019-10-29,
145,25,male,Rio de Janeiro,walk_in,monthly,medium,2018-03-07,2023-04-22
146,36,female,Recife,walk_in,monthly,medium,2024-06-02,
147,22,female,São Paulo,organic,monthly,medium,2022-06-14,2023-11-15
148,35,male,Curitiba,organic,quarterly,low,2019-05-10,2019-10-20
149,42,male,Porto Alegre,google_ads,annual,high,2019-10-10,
150,22,male,São Paulo,organic,quarterly,low,2022-08-15,2023-02-06
151,21,female,Recife,walk_in,monthly,low,2018-09-03,
152,58,female,Recife,instagram_ads,monthly,medium,2018-03-19,2018-10-14
153,18,female,Recife,referral,monthly,medium,2022-02-06,
154,43,male,Porto Alegre,organic,annual,low,2023-03-14,
155,22,female,Rio de Janeiro,google_ads,monthly,low,2021-03-14,
156,18,male,São Paulo,referral,quarterly,low,2023-05-02,2023-12-30
157,34,male,São Paulo,organic,monthly,medium,2022-10-24,
158,43,male,Recife,walk_in,monthly,low,2022-12-09,2023-06-23
159,36,male,Rio de Janeiro,instagram_ads,annual,high,2020-02-24,
160,29,male,Rio de Janeiro,instagram_ads,monthly,medium,2023-05-20,
161,41,male,Curitiba,google_ads,quarterly,medium,2022-08-30,
162,27,male,São Paulo,instagram_ads,monthly,high,2023-09-22,
163,30,male,Florianópolis,instagram_ads,annual,medium,2022-05-18,2023-12-05
164,30,male,Florianópolis,referral,monthly,high,2021-10-10,2024-04-21
165,41,male,Florianópolis,instagram_ads,monthly,low,2022-10-25,2024-10-13
166,31,female,Porto Alegre,instagram_ads,monthly,low,2021-04-20,
167,37,male,Curitiba,organic,monthly,medium,2022-11-11,
168,41,male,Porto Alegre,organic,monthly,high,2019-01-24,
169,27,female,Rio de Janeiro,referral,monthly,low,2022-10-31,2023-07-30
170,18,male,Florianópolis,google_ads,monthly,high,2019-01-03,2024-10-11
171,26,female,Rio de Janeiro,google_ads,monthly,medium,2021-01-25,
172,25,male,Rio de Janeiro,organic,annual,medium,2022-03-08,2022-10-20
173,26,male,Recife,google_ads,monthly,low,2020-01-28,2024-10-07
174,22,male,Rio de Janeiro,instagram_ads,monthly,medium,2022-05-24,
175,25,male,Florianópolis,google_ads,monthly,medium,2022-12-28,
176,52,female,Rio de Janeiro,organic,quarterly,low,2024-03-21,2024-11-06
177,27,female,Florianópolis,organic,annual,low,2020-04-11,2021-07-06
178,24,male,Curitiba,instagram_ads,monthly,high,2024-05-01,
179,42,female,Recife,instagram_ads,monthly,low,2022-06-27,2023-12-20
180,18,male,Recife,walk_in,monthly,high,2022-03-15,
181,29,female,Recife,google_ads,monthly,medium,2021-07-16,2024-11-16
182,33,male,Porto Alegre,referral,monthly,low,2020-02-27,2023-04-10
183,32,male,Rio de Janeiro,organic,monthly,medium,2023-04-05,2023-06-29
184,27,female,Rio de Janeiro,referral,quarterly,low,2022-06-25,
185,27,female,São Paulo,google_ads,monthly,high,2023-03-22,
186,63,female,Recife,referral,monthly,medium,2022-07-04,
187,38,female,Florianópolis,organic,monthly,medium,2024-11-06,
188,22,male,São Paulo,organic,quarterly,high,2021-11-15,2023-10-22
189,27,female,Rio de Janeiro,google_ads,monthly,medium,2022-06-05,
190,26,male,São Paulo,instagram_ads,monthly,low,2022-04-26,2024-09-29
191,28,female,Florianópolis,organic,monthly,medium,2022-08-04,2022-11-09
192,62,female,Rio de Janeiro,referral,monthly,medium,2024-03-17,
193,34,female,São Paulo,instagram_ads,monthly,medium,2020-03-03,
194,31,male,Rio de Janeiro,referral,monthly,medium,2018-08-21,2024-03-17
195,23,female,São Paulo,organic,quarterly,low,2024-12-25,
196,32,male,Recife,google_ads,monthly,low,2023-06-17,
197,42,male,Florianópolis,organic,monthly,low,2018-07-14,
198,31,female,Recife,google_ads,monthly,low,2024-12-26,
199,43,male,Rio de Janeiro,google_ads,monthly,low,2024-09-27,2024-12-07
200,41,male,Recife,instagram_ads,monthly,low,2021-07-14,2023-11-05
201,25,female,Porto Alegre,instagram_ads,monthly,medium,2024-12-25,
202,19,female,Rio de Janeiro,organic,quarterly,medium,2022-05-18,2022-10-06
203,23,male,Recife,walk_in,monthly,low,2019-07-03,
204,19,female,Recife,google_ads,monthly,high,2019-08-06,
205,65,female,Rio de Janeiro,organic,monthly,medium,2024-06-17,
206,56,male,São Paulo,organic,annual,high,2023-06-18,
207,24,female,Recife,referral,quarterly,low,2023-10-27,2024-12-22
208,18,male,Recife,instagram_ads,monthly,low,2023-12-11,
209,36,female,Recife,google_ads,monthly,high,2022-12-28,
210,54,female,Rio de Janeiro,instagram_ads,quarterly,high,2024-11-15,
211,19,female,Rio de Janeiro,organic,quarterly,medium,2022-11-30,
212,65,male,Porto Alegre,referral,monthly,high,2019-11-08,
213,19,male,Porto Alegre,organic,monthly,low,2022-02-05,
214,19,male,Rio de Janeiro,referral,monthly,low,2023-03-26,2023-10-12
215,41,male,Curitiba,referral,monthly,high,2020-08-30,
216,37,female,Rio de Janeiro,organic,monthly,low,2021-08-19,
217,49,female,Rio de Janeiro,instagram_ads,monthly,low,2022-08-06,
218,23,male,Curitiba,organic,monthly,high,2020-03-16,2021-03-12
219,25,male,Florianópolis,organic,monthly,low,2021-01-19,
220,18,female,Rio de Janeiro,organic,monthly,low,2023-11-29,2024-08-28
221,63,female,Curitiba,instagram_ads,monthly,low,2021-10-10,2023-04-07
222,35,male,Florianópolis,organic,monthly,low,2021-04-30,2023-01-27
223,48,female,Recife,walk_in,quarterly,medium,2024-09-26,
224,38,male,Porto Alegre,referral,monthly,medium,2021-10-28,
225,20,female,Rio de Janeiro,organic,monthly,medium,2018-09-09,
226,19,male,Curitiba,referral,quarterly,high,2022-01-15,
227,64,male,São Paulo,organic,monthly,low,2021-07-22,
228,25,male,São Paulo,organic,annual,medium,2019-07-05,2024-03-22
229,44,female,Florianópolis,instagram_ads,monthly,low,2019-08-11,2021-05-20
230,31,male,Curitiba,referral,monthly,medium,2023-08-20,2024-12-15
231,56,female,São Paulo,organic,monthly,medium,2018-08-19,
232,21,female,Curitiba,organic,quarterly,high,2019-12-14,
233,19,female,Recife,instagram_ads,monthly,medium,2020-11-10,
234,31,female,Porto Alegre,instagram_ads,monthly,medium,2021-06-11,2021-12-10
235,19,male,Curitiba,google_ads,annual,medium,2021-05-07,
236,52,female,Florianópolis,walk_in,quarterly,medium,2021-09-13,
237,19,male,Curitiba,organic,quarterly,high,2024-03-29,
238,53,male,Porto Alegre,walk_in,annual,medium,2019-12-09,
239,32,female,São Paulo,walk_in,monthly,low,2021-03-04,
240,29,female,Curitiba,walk_in,quarterly,low,2022-11-09,2023-03-04
241,37,male,Recife,instagram_ads,monthly,medium,2019-01-03,2020-01-09
242,41,male,Recife,google_ads,monthly,low,2021-10-09,2022-03-15
243,35,male,Florianópolis,walk_in,monthly,medium,2018-09-26,2020-09-30
244,51,male,São Paulo,organic,annual,medium,2020-11-07,
245,22,female,São Paulo,google_ads,monthly,low,2022-11-28,2023-06-08
246,21,female,São Paulo,instagram_ads,monthly,high,2018-05-25,
247,60,male,São Paulo,organic,quarterly,low,2019-09-25,2021-05-28
248,24,female,Rio de Janeiro,instagram_ads,monthly,low,2023-12-23,2024-09-21
249,33,female,São Paulo,organic,quarterly,low,2020-10-13,
250,28,male,Recife,organic,monthly,low,2022-01-20,2023-02-28
251,35,male,Recife,organic,monthly,medium,2020-03-14,
252,23,female,Rio de Janeiro,walk_in,monthly,medium,2019-07-26,
253,27,female,Porto Alegre,organic,monthly,medium,2022-04-02,
254,33,female,Porto Alegre,referral,quarterly,medium,2020-07-23,
255,34,male,Curitiba,instagram_ads,monthly,high,2020-11-03,
256,53,male,Rio de Janeiro,google_ads,monthly,low,2018-01-20,
257,33,female,Rio de Janeiro,organic,quarterly,medium,2020-03-07,2023-03-12
258,57,female,Porto Alegre,organic,monthly,medium,2023-10-02,2024-06-17
259,27,female,Rio de Janeiro,walk_in,monthly,medium,2022-01-15,
260,18,male,São Paulo,google_ads,monthly,medium,2021-08-26,2022-11-05
261,46,male,Recife,organic,annual,low,2020-01-11,2022-03-04
262,23,female,Rio de Janeiro,google_ads,annual,high,2022-05-09,2023-11-16
263,27,female,Porto Alegre,referral,monthly,high,2024-06-20,
264,20,female,Rio de Janeiro,google_ads,monthly,low,2019-12-19,2021-04-21
265,34,male,Rio de Janeiro,instagram_ads,quarterly,low,2020-01-26,
266,26,male,Recife,organic,monthly,medium,2018-11-05,
267,24,male,Florianópolis,organic,monthly,low,2022-09-08,
268,34,male,Recife,instagram_ads,monthly,low,2022-10-23,
269,38,male,Porto Alegre,walk_in,annual,high,2024-04-21,
270,40,male,Recife,organic,monthly,low,2023-08-03,
271,44,female,São Paulo,organic,monthly,high,2020-07-13,
272,29,male,Curitiba,organic,monthly,medium,2021-06-03,
273,30,male,São Paulo,instagram_ads,monthly,low,2021-08-23,2024-05-18
274,18,female,São Paulo,organic,monthly,medium,2018-04-09,2019-02-21
275,18,male,Florianópolis,google_ads,monthly,medium,2024-05-25,
276,26,female,Recife,referral,annual,low,2023-07-19,
277,42,male,Florianópolis,organic,quarterly,high,2021-10-08,
278,29,male,Rio de Janeiro,instagram_ads,quarterly,medium,2022-06-05,
279,34,male,Porto Alegre,google_ads,monthly,low,2024-05-21,2024-11-06
280,23,male,Recife,instagram_ads,monthly,medium,2020-12-05,
281,33,male,Rio de Janeiro,google_ads,monthly,high,2024-08-23,
282,60,male,Florianópolis,organic,quarterly,high,2024-11-29,
283,20,male,Florianópolis,organic,monthly,medium,2018-04-25,
284,31,male,Curitiba,google_ads,monthly,high,2021-06-05,
285,38,male,Florianópolis,organic,monthly,low,2024-12-14,
286,19,female,São Paulo,google_ads,monthly,medium,2024-09-14,2024-12-26
287,18,male,Rio de Janeiro,google_ads,monthly,low,2018-11-23,2023-08-07
288,65,female,Rio de Janeiro,walk_in,monthly,medium,2023-09-20,2024-08-18
289,24,female,Rio de Janeiro,referral,monthly,low,2024-08-15,2024-12-06
290,24,female,Recife,instagram_ads,monthly,low,2018-06-21,2020-02-17
291,29,female,São Paulo,google_ads,monthly,low,2023-11-09,2024-05-17
292,44,female,São Paulo,google_ads,monthly,high,2018-08-20,2020-05-13
293,49,male,Florianópolis,organic,monthly,medium,2023-01-14,
294,21,female,Florianópolis,walk_in,annual,low,2020-02-05,2021-08-01
295,38,male,Rio de Janeiro,organic,monthly,low,2020-03-05,2024-07-23
296,34,female,Porto Alegre,walk_in,monthly,medium,2024-06-11,2024-10-25
297,32,male,Porto Alegre,instagram_ads,monthly,medium,2022-05-26,2023-06-25
298,28,female,Porto Alegre,organic,monthly,medium,2022-12-31,
299,60,female,Porto Alegre,referral,monthly,medium,2018-05-01,
300,27,male,Curitiba,instagram_ads,monthly,medium,2023-12-18,
301,24,female,Porto Alegre,instagram_ads,monthly,high,2021-08-16,
302,29,female,Recife,organic,monthly,medium,2023-11-11,
303,41,female,Florianópolis,walk_in,monthly,high,2024-11-01,
304,63,female,Porto Alegre,google_ads,monthly,medium,2023-08-11,2024-12-20
305,23,female,Porto Alegre,walk_in,monthly,medium,2024-02-11,
306,25,female,Curitiba,walk_in,quarterly,low,2018-11-19,2023-07-24
307,26,female,Rio de Janeiro,google_ads,monthly,low,2022-07-08,2023-12-01
308,21,male,São Paulo,referral,quarterly,medium,2024-06-12,
309,21,male,Rio de Janeiro,referral,quarterly,high,2019-09-29,
310,60,female,Rio de Janeiro,referral,monthly,medium,2020-08-01,
311,18,male,Rio de Janeiro,organic,quarterly,medium,2021-10-13,2024-07-11
312,34,male,São Paulo,referral,annual,medium,2020-02-22,
313,40,female,Curitiba,organic,quarterly,medium,2021-09-02,2023-08-01
314,51,male,Recife,referral,monthly,medium,2019-05-06,2022-10-28
315,32,female,São Paulo,walk_in,quarterly,high,2021-04-24,
316,63,female,Florianópolis,organic,quarterly,medium,2024-07-26,2024-10-28
317,26,male,Curitiba,organic,monthly,medium,2024-07-30,
318,25,female,Recife,organic,monthly,low,2021-06-02,2021-10-16
319,25,male,Recife,referral,monthly,medium,2023-11-09,2024-06-03
320,36,female,Porto Alegre,google_ads,annual,low,2019-12-20,2022-04-21
321,34,female,Curitiba,organic,quarterly,high,2021-10-04,
322,49,male,Curitiba,organic,monthly,high,2019-11-08,2022-02-08
323,29,female,Curitiba,referral,monthly,low,2020-01-01,2020-12-12
324,37,female,Florianópolis,organic,monthly,low,2023-11-13,2024-12-02
325,24,female,Rio de Janeiro,organic,quarterly,low,2020-08-27,2024-01-16
326,35,male,Florianópolis,instagram_ads,monthly,high,2019-01-18,
327,26,female,Florianópolis,instagram_ads,monthly,high,2023-11-12,
328,20,male,Curitiba,referral,annual,medium,2020-02-13,
329,33,female,Florianópolis,organic,annual,high,2022-03-11,
330,51,male,Florianópolis,organic,monthly,medium,2024-06-16,
331,28,female,Recife,organic,monthly,medium,2021-09-05,
332,31,female,São Paulo,google_ads,monthly,low,2021-10-18,
333,36,female,Curitiba,google_ads,monthly,medium,2019-06-06,
334,29,male,Recife,organic,monthly,medium,2019-04-08,2022-10-08
335,19,male,Curitiba,instagram_ads,quarterly,low,2022-07-31,2024-03-04
336,36,female,Rio de Janeiro,google_ads,monthly,medium,2018-08-11,
337,24,male,Florianópolis,instagram_ads,quarterly,medium,2022-08-24,2024-12-10
338,50,female,Curitiba,instagram_ads,quarterly,low,2018-01-16,2023-08-19
339,35,female,Recife,organic,annual,low,2024-07-21,2024-10-10
340,35,male,Rio de Janeiro,organic,monthly,medium,2020-04-15,
341,36,male,Curitiba,organic,quarterly,medium,2023-10-30,
342,25,female,Curitiba,walk_in,monthly,medium,2023-09-05,
343,37,female,São Paulo,referral,monthly,medium,2023-10-07,
344,18,female,Porto Alegre,referral,quarterly,medium,2019-03-13,2021-12-14
345,27,male,Porto Alegre,walk_in,monthly,medium,2020-02-18,2022-12-20
346,23,male,Florianópolis,organic,monthly,medium,2019-12-24,
347,29,female,São Paulo,google_ads,monthly,medium,2020-01-30,
348,21,female,Rio de Janeiro,google_ads,quarterly,high,2024-11-16,
349,24,female,Curitiba,google_ads,quarterly,medium,2018-12-01,
350,18,male,Recife,walk_in,monthly,medium,2019-03-23,
351,26,female,Porto Alegre,organic,quarterly,low,2023-06-29,2023-10-18
352,21,male,Rio de Janeiro,organic,monthly,high,2022-09-14,
353,26,female,Recife,referral,monthly,high,2024-01-05,
354,21,male,Curitiba,instagram_ads,monthly,medium,2022-09-08,
355,20,female,Curitiba,organic,monthly,low,2019-12-01,2020-07-13
356,29,female,Porto Alegre,instagram_ads,monthly,medium,2019-04-25,
357,41,male,São Paulo,organic,monthly,high,2024-07-02,
358,28,female,Recife,organic,annual,high,2022-02-24,
359,65,male,Rio de Janeiro,organic,monthly,high,2021-01-30,2023-12-03
360,18,female,Porto Alegre,google_ads,annual,low,2023-09-03,
361,31,female,Porto Alegre,organic,quarterly,low,2019-02-14,
362,18,male,Florianópolis,organic,monthly,high,2020-08-11,
363,38,male,Curitiba,walk_in,monthly,medium,2021-02-25,
364,28,male,Recife,instagram_ads,monthly,medium,2021-04-19,2022-06-27
365,41,female,Recife,google_ads,quarterly,low,2022-10-31,
366,33,female,Rio de Janeiro,instagram_ads,annual,medium,2021-07-27,
367,29,female,Porto Alegre,organic,monthly,low,2024-07-30,2024-11-23
368,62,male,Florianópolis,referral,monthly,high,2024-11-26,
369,33,male,Florianópolis,referral,annual,low,2021-10-02,2023-08-14
370,55,male,Porto Alegre,organic,monthly,low,2022-03-30,
371,51,male,Porto Alegre,organic,monthly,medium,2021-10-14,2024-08-11
372,35,male,Rio de Janeiro,referral,monthly,medium,2022-04-12,2024-05-25
373,25,male,Porto Alegre,referral,annual,medium,2018-06-29,
374,22,male,Porto Alegre,referral,monthly,low,2023-12-27,2024-09-13
375,31,female,Rio de Janeiro,instagram_ads,monthly,high,2020-10-20,2021-10-11
376,19,male,Florianópolis,referral,monthly,medium,2022-12-23,2023-09-23
377,25,female,Porto Alegre,google_ads,quarterly,low,2020-03-21,2022-02-08
378,23,male,Curitiba,organic,annual,medium,2022-01-11,
379,64,male,Florianópolis,organic,monthly,low,2024-08-02,
380,62,male,Recife,instagram_ads,quarterly,high,2023-12-09,
381,40,female,Porto Alegre,organic,quarterly,medium,2021-02-07,
382,65,female,Florianópolis,google_ads,monthly,medium,2022-03-26,2023-07-02
383,38,male,Florianópolis,google_ads,annual,high,2023-06-04,
384,19,male,Rio de Janeiro,instagram_ads,monthly,high,2024-04-08,2024-08-28
385,56,female,Rio de Janeiro,organic,monthly,medium,2018-08-29,
386,34,female,Florianópolis,walk_in,monthly,medium,2018-07-07,
387,21,male,Porto Alegre,instagram_ads,monthly,low,2018-06-22,2020-10-04
388,26,female,Porto Alegre,organic,monthly,medium,2023-07-26,2024-07-28
389,27,female,Curitiba,instagram_ads,quarterly,low,2024-09-01,2024-11-04
390,26,male,Porto Alegre,instagram_ads,monthly,high,2024-03-22,2024-06-02
391,31,male,Recife,organic,monthly,high,2021-12-08,2024-08-15
392,45,male,Rio de Janeiro,google_ads,monthly,medium,2022-09-02,2024-11-30
393,44,male,Curitiba,walk_in,monthly,high,2019-11-18,2020-07-17
394,30,female,Curitiba,referral,monthly,medium,2019-03-08,
395,38,female,Porto Alegre,instagram_ads,monthly,low,2019-06-25,2022-06-14
396,28,female,Rio de Janeiro,instagram_ads,monthly,low,2022-11-08,
397,45,male,Curitiba,google_ads,quarterly,medium,2024-12-02,
398,30,female,Curitiba,instagram_ads,quarterly,low,2022-07-22,
399,40,female,Rio de Janeiro,google_ads,quarterly,high,2021-08-29,2023-08-08
400,29,male,Curitiba,referral,annual,low,2024-02-18,
401,22,female,Florianópolis,instagram_ads,monthly,medium,2019-09-30,2021-12-22
402,21,male,Curitiba,organic,quarterly,medium,2020-10-15,
403,22,male,Porto Alegre,organic,monthly,medium,2019-10-13,
404,32,female,Curitiba,instagram_ads,quarterly,medium,2024-12-26,
405,23,male,Florianópolis,google_ads,annual,medium,2018-03-29,
406,41,male,Recife,instagram_ads,monthly,medium,2018-06-09,
