clinic_id,city,number_of_veterinarians,clinic_capacity,clinic_popularity,opening_year,emergency_enabled,clinic_total_visits,clinic_total_revenue,clinic_avg_visit_revenue,clinic_unique_customers,clinic_unique_pets,emergency_visits,emergency_visit_ratio,clinic_revenue_per_visit,visits_per_veterinarian,revenue_per_veterinarian,capacity_utilization_ratio
C014,Tijuana,4,44,1.05806911616378,2013,False,21437,3272433.24,152.6535074870551,3912,4410,0,0.0,152.6535074870551,5359.25,818108.31,487.20454545454544
C015,Hermosillo,3,33,1.022080324639785,2021,True,12810,1812189.93,141.46681733021077,2717,2940,472,0.03684621389539423,141.46681733021077,4270.0,604063.3099999999,388.1818181818182
C016,Querétaro,2,22,1.140371379507005,2010,True,10291,1615925.68,157.0231930813332,2294,2425,334,0.032455543678942766,157.0231930813332,5145.5,807962.84,467.77272727272725
C017,Chihuahua,6,48,0.8703701010709382,2013,True,16206,2360702.88,145.6684487226953,3127,3435,561,0.03461680858941133,145.6684487226953,2701.0,393450.48,337.625
C018,Mérida,6,60,1.1568186220708452,2020,False,26358,3558484.98,135.00587980878672,4506,5148,0,0.0,135.00587980878672,4393.0,593080.83,439.3
C019,Cancún,6,54,0.9480634801021778,2018,False,21083,3217190.36,152.59642176160887,3744,4205,0,0.0,152.59642176160887,3513.8333333333335,536198.3933333333,390.4259259259259
C020,Mérida,3,24,0.9578765867237888,2015,False,8948,1262439.89,141.08626396960213,2054,2183,0,0.0,141.08626396960213,2982.6666666666665,420813.29666666663,372.8333333333333
C021,San Luis Potosí,2,16,1.0809936335948438,2016,True,6630,936864.43,141.30685218702865,1704,1800,203,0.0306184012066365,141.30685218702865,3315.0,468432.215,414.375
C022,Toluca,2,22,1.0807867509030813,2023,False,9672,1337086.67,138.2430386683209,2228,2379,0,0.0,138.2430386683209,4836.0,668543.335,439.6363636363636
C023,Chihuahua,2,22,0.8155338937717693,2015,False,7043,946088.0,134.33025699275876,1768,1856,0,0.0,134.33025699275876,3521.5,473044.0,320.1363636363636
C024,León,5,55,1.1903408317850137,2021,False,26496,3667180.67,138.40506755736715,4433,5117,0,0.0,138.40506755736715,5299.2,733436.134,481.74545454545455
C025,Puebla,2,22,0.963581177765708,2019,False,8908,1294669.07,145.33779411764706,1958,2090,0,0.0,145.33779411764706,4454.0,647334.535,404.90909090909093
C026,Toluca,3,33,0.8634585790569964,2015,True,11584,1691855.29,146.05104368093922,2456,2629,368,0.031767955801104975,146.05104368093922,3861.3333333333335,563951.7633333333,351.030303030303
C027,Querétaro,6,60,0.8192235696788135,2015,False,20976,3182960.84,151.7429843630816,3799,4246,0,0.0,151.7429843630816,3496.0,530493.4733333333,349.6
C028,León,2,22,1.0343102325093854,2020,False,9243,1281821.18,138.68020988856432,2119,2257,0,0.0,138.68020988856432,4621.5,640910.59,420.1363636363636
C029,Cancún,3,30,0.8783164539157186,2022,True,10805,1753429.97,162.279497454882,2380,2534,373,0.034521055067098565,162.279497454882,3601.6666666666665,584476.6566666666,360.1666666666667
C030,Querétaro,3,30,0.91274190990936,2013,False,11688,1818348.01,155.57392282683094,2563,2745,0,0.0,155.57392282683094,3896.0,606116.0033333333,389.6
C031,Cancún,4,32,1.0926591021198562,2013,False,14281,2173271.67,152.1792360478958,2906,3176,0,0.0,152.1792360478958,3570.25,543317.9175,446.28125
C032,San Luis Potosí,2,18,0.998624476273231,2018,True,6951,991113.17,142.5856955833693,1718,1807,236,0.03395194935980435,142.5856955833693,3475.5,495556.585,386.1666666666667
C033,Tijuana,6,48,0.9172843086792258,2018,False,20750,3131979.9,150.93879036144577,3890,4335,0,0.0,150.93879036144577,3458.3333333333335,521996.64999999997,432.2916666666667
C034,San Luis Potosí,3,24,1.0948142227164035,2022,False,9932,1388872.15,139.8381141763995,2228,2399,0,0.0,139.8381141763995,3310.6666666666665,462957.3833333333,413.8333333333333
C035,Monterrey,3,30,1.0824968908625985,2014,False,16227,2830914.39,174.45704011832132,3184,3487,0,0.0,174.45704011832132,5409.0,943638.13,540.9
C036,Chihuahua,4,32,0.9511950360489018,2016,False,11740,1650033.1,140.54796422487223,2501,2710,0,0.0,140.54796422487223,2935.0,412508.275,366.875
C037,Querétaro,2,20,0.9910859563520912,2018,False,8524,1278620.31,150.00238268418585,2004,2135,0,0.0,150.00238268418585,4262.0,639310.155,426.2
C038,Guadalajara,5,40,1.0092391376680596,2018,True,20113,3478861.75,172.96583055735096,3709,4165,672,0.03341122656988018,172.96583055735096,4022.6,695772.35,502.825
C039,Querétaro,5,40,0.9109524731924532,2021,False,15666,2398232.53,153.08518639091025,3050,3346,0,0.0,153.08518639091025,3133.2,479646.50599999994,391.65
C040,Hermosillo,5,40,1.0738924690215517,2022,True,16501,2340781.64,141.856956548088,3130,3462,550,0.033331313253742195,141.856956548088,3300.2,468156.32800000004,412.525
C041,Querétaro,4,32,0.8659337044548004,2017,False,12068,1863087.24,154.3824361948956,2542,2728,0,0.0,154.3824361948956,3017.0,465771.81,377.125
C042,Querétaro,2,20,0.8535408475202533,2014,True,7259,1152912.92,158.82530927124947,1825,1903,234,0.03223584515773523,158.82530927124947,3629.5,576456.46,362.95
C043,Puebla,4,32,0.8964339329318528,2018,True,12447,1886518.85,151.56413995340245,2589,2814,433,0.03478749899574195,151.56413995340245,3111.75,471629.7125,388.96875
C044,Chihuahua,4,40,0.9231108959084198,2010,False,14275,1974395.95,138.31145008756567,2882,3110,0,0.0,138.31145008756567,3568.75,493598.9875,356.875
C045,San Luis Potosí,5,45,0.9402350235226388,2011,False,16511,2285380.42,138.41562715765247,3207,3547,0,0.0,138.41562715765247,3302.2,457076.084,366.9111111111111
C046,Tijuana,6,66,0.983738723178469,2010,False,30158,4569225.54,151.50956761058427,4841,5613,0,0.0,151.50956761058427,5026.333333333333,761537.59,456.93939393939394
C047,Cancún,2,20,0.851218335583109,2020,True,6892,1122078.9,162.80889437028438,1703,1771,261,0.037869994196169474,162.80889437028438,3446.0,561039.45,344.6
C048,Mérida,3,30,0.8163474465065916,2014,True,9514,1368110.29,143.79969413495903,2197,2343,306,0.03216312802186252,143.79969413495903,3171.3333333333335,456036.76333333337,317.1333333333333
C049,Monterrey,3,24,0.9286331058720116,2019,False,11483,1996829.65,173.89442218932334,2448,2618,0,0.0,173.89442218932334,3827.6666666666665,665609.8833333333,478.4583333333333
C050,Guadalajara,3,33,0.947565455827909,2017,False,15878,2664876.2,167.83450056682204,2991,3283,0,0.0,167.83450056682204,5292.666666666667,888292.0666666668,481.1515151515151
