pet_id,customer_id,pet_type,pet_breed,pet_age,pet_age_group,primary_clinic
P000053,CU06646,Perro,Maltés,9,Senior,C004
P000054,CU12343,Exótico,Chinchilla,4,Adulto,C010
P000055,CU10094,Perro,Labrador Retriever,7,Adulto,C001
P000056,CU12601,Perro,San Bernardo,8,Adulto,C023
P000057,CU10683,Perro,Rottweiler,5,Adulto,C003
P000058,CU07219,Gato,Devon Rex,4,Adulto,C008
P000059,CU07971,Perro,Shih Tzu,8,Adulto,C016
P000060,CU08357,Perro,Shih Tzu,6,Adulto,C031
P000061,CU00823,Gato,Sphynx,9,Senior,C021
P000062,CU03453,Gato,Oriental de Pelo Corto,7,Adulto,C018
P000063,CU08706,Exótico,Loro,1,Joven,C002
P000064,CU04567,Perro,Bóxer,2,Joven,C005
P000065,CU00805,Perro,Dachshund,0,Joven,C022
P000066,CU17772,Perro,Husky Siberiano,3,Adulto,C030
P000067,CU02107,Gato,Gato Doméstico de Pelo Corto,11,Senior,C009
P000068,CU02600,Gato,Abisinio,0,Joven,C039
P000069,CU17686,Gato,Maine Coon,8,Adulto,C006
P000070,CU05476,Perro,Pastor Alemán,8,Adulto,C017
P000071,CU12876,Perro,Husky Siberiano,3,Adulto,C031
P000072,CU17030,Gato,Siamés,3,Adulto,C012
P000073,CU14061,Gato,Sphynx,8,Adulto,C021
P000074,CU03630,Perro,Boyero de Berna,5,Adulto,C043
P000075,CU11556,Gato,Oriental de Pelo Corto,0,Joven,C036
P000076,CU11047,Gato,Bengalí,2,Joven,C034
P000077,CU02712,Exótico,Loro,0,Joven,C047
P000078,CU15508,Perro,Bóxer,4,Adulto,C043
P000079,CU12113,Perro,Border Collie,6,Adulto,C002
P000080,CU01525,Perro,Rottweiler,1,Joven,C017
P000081,CU01241,Gato,British Shorthair,0,Joven,C003
P000082,CU01253,Perro,Pomerania,3,Adulto,C030
P000083,CU16315,Exótico,Conejo,4,Adulto,C047
P000084,CU01342,Exótico,Cobaya,6,Adulto,C008
P000085,CU12255,Gato,Sphynx,7,Adulto,C008
P000086,CU15897,Exótico,Gecko,9,Senior,C015
P000087,CU13850,Perro,Husky Siberiano,1,Joven,C007
P000088,CU12046,Perro,Beagle,12,Senior,C009
P000089,CU11123,Exótico,Hámster,9,Senior,C031
P000090,CU04498,Perro,Beagle,3,Adulto,C017
P000091,CU09375,Perro,Doberman,1,Joven,C023
P000092,CU12652,Perro,San Bernardo,8,Adulto,C049
P000093,CU11780,Gato,Abisinio,5,Adulto,C045
P000094,CU13738,Gato,Siamés,10,Senior,C035
P000095,CU00546,Perro,Basset Hound,3,Adulto,C032
P000096,CU03811,Perro,Shih Tzu,1,Joven,C029
P000097,CU08437,Perro,Cocker Spaniel,3,Adulto,C039
P000098,CU12677,Gato,Gato Doméstico de Pelo Corto,9,Senior,C003
P000099,CU11693,Perro,Maltés,1,Joven,C025
P000100,CU14287,Perro,Pastor Australiano,2,Joven,C024
P000101,CU09156,Perro,Caniche,7,Adulto,C046
P000102,CU08203,Exótico,Hámster,4,Adulto,C025
P000103,CU14900,Perro,Rottweiler,5,Adulto,C045
P000104,CU01390,Perro,Pastor Alemán,6,Adulto,C026
P000105,CU17321,Perro,Golden Retriever,6,Adulto,C047
P000106,CU00727,Gato,Persa,6,Adulto,C020
P000107,CU10107,Perro,Maltés,5,Adulto,C003
P000108,CU07907,Perro,San Bernardo,4,Adulto,C047
P000109,CU04676,Perro,Pastor Alemán,0,Joven,C028
P000110,CU17603,Exótico,Gecko,2,Joven,C042
P000111,CU13775,Gato,Ragdoll,2,Joven,C015
P000112,CU04134,Perro,Caniche,7,Adulto,C048
P000113,CU13914,Perro,Caniche,7,Adulto,C005
P000114,CU12881,Perro,Border Collie,1,Joven,C032
P000115,CU16702,Perro,Golden Retriever,8,Adulto,C027
P000116,CU01313,Gato,Persa,1,Joven,C016
P000117,CU02140,Gato,Azul Ruso,3,Adulto,C045
P000118,CU13482,Perro,Bulldog,2,Joven,C007
P000119,CU16107,Exótico,Serpiente,3,Adulto,C030
P000120,CU09767,Perro,Bulldog Francés,2,Joven,C002
P000121,CU16078,Gato,Birmano,5,Adulto,C017
P000122,CU07010,Gato,British Shorthair,5,Adulto,C045
P000123,CU01008,Perro,Beagle,6,Adulto,C028
P000124,CU00572,Perro,Caniche,5,Adulto,C029
P000125,CU16662,Exótico,Hurón,4,Adulto,C017
P000126,CU14860,Perro,Husky Siberiano,3,Adulto,C001
P000127,CU11384,Perro,Maltés,11,Senior,C012
P000128,CU11297,Perro,Chihuahua,2,Joven,C032
P000129,CU11802,Perro,Pastor Alemán,1,Joven,C029
P000130,CU10397,Perro,Pastor Alemán,4,Adulto,C047
P000131,CU13262,Perro,Gran Danés,4,Adulto,C021
P000132,CU06447,Perro,Bóxer,1,Joven,C006
P000133,CU01683,Perro,Golden Retriever,1,Joven,C038
P000134,CU11426,Perro,Pastor Australiano,1,Joven,C025
P000135,CU17176,Perro,Chihuahua,12,Senior,C046
P000136,CU17369,Gato,Ragdoll,0,Joven,C008
P000137,CU08783,Perro,Maltés,6,Adulto,C044
P000138,CU08885,Exótico,Chinchilla,8,Adulto,C003
P000139,CU15252,Gato,Abisinio,0,Joven,C009
P000140,CU05798,Perro,Boyero de Berna,6,Adulto,C002
P000141,CU16968,Perro,Border Collie,4,Adulto,C030
P000142,CU17774,Exótico,Cacatúa Ninfa,1,Joven,C032
P000143,CU06155,Gato,Gato Doméstico de Pelo Corto,7,Adulto,C041
P000144,CU10641,Perro,Shih Tzu,7,Adulto,C032
P000145,CU15823,Perro,Boyero de Berna,3,Adulto,C040
P000146,CU16386,Perro,Dachshund,1,Joven,C013
P000147,CU14452,Perro,Beagle,5,Adulto,C046
P000148,CU10362,Gato,Siamés,1,Joven,C042
P000149,CU09079,Gato,British Shorthair,9,Senior,C006
P000150,CU06918,Gato,Devon Rex,7,Adulto,C032
P000151,CU00553,Gato,British Shorthair,5,Adulto,C020
P000152,CU13630,Gato,Devon Rex,6,Adulto,C007
P000153,CU00459,Gato,Maine Coon,9,Senior,C003
P000154,CU04110,Perro,Boyero de Berna,6,Adulto,C012
P000155,CU10327,Gato,Abisinio,4,Adulto,C046
P000156,CU04781,Perro,Basset Hound,6,Adulto,C032
P000157,CU16691,Perro,Bulldog,2,Joven,C032
P000158,CU02921,Perro,Husky Siberiano,7,Adulto,C035
P000159,CU12733,Perro,Chihuahua,4,Adulto,C030
P000160,CU14037,Gato,Oriental de Pelo Corto,0,Joven,C024
P000161,CU08596,Gato,Birmano,0,Joven,C034
P000162,CU12004,Gato,Siamés,11,Senior,C036
P000163,CU12583,Perro,Pomerania,2,Joven,C003
P000164,CU15597,Perro,Boston Terrier,0,Joven,C015
P000165,CU12766,Perro,Doberman,5,Adulto,C037
P000166,CU12198,Perro,Boyero de Berna,0,Joven,C047
P000167,CU00014,Perro,Akita,2,Joven,C017
P000168,CU02114,Gato,Ragdoll,5,Adulto,C001
P000169,CU12589,Perro,Gran Danés,4,Adulto,C016
P000170,CU05725,Perro,Dachshund,7,Adulto,C001
P000171,CU06277,Perro,Gran Danés,1,Joven,C043
P000172,CU06117,Perro,Pastor Australiano,0,Joven,C049
P000173,CU09848,Gato,Birmano,5,Adulto,C020
P000174,CU16002,Perro,Caniche,8,Adulto,C020
P000175,CU00282,Perro,Basset Hound,3,Adulto,C005
P000176,CU09201,Perro,Doberman,3,Adulto,C042
P000177,CU08468,Exótico,Tortuga,0,Joven,C043
P000178,CU03250,Perro,Bulldog,6,Adulto,C020
P000179,CU06295,Perro,Border Collie,2,Joven,C021
P000180,CU09207,Gato,Bengalí,6,Adulto,C005
P000181,CU12374,Perro,Labrador Retriever,4,Adulto,C017
P000182,CU03720,Gato,Gato Doméstico de Pelo Corto,11,Senior,C012
P000183,CU17371,Exótico,Hurón,1,Joven,C016
P000184,CU13966,Perro,Caniche,7,Adulto,C041
P000185,CU11866,Perro,Pastor Alemán,4,Adulto,C048
P000186,CU06925,Gato,Oriental de Pelo Corto,5,Adulto,C031
P000187,CU00489,Perro,Pastor Alemán,0,Joven,C038
P000188,CU04115,Gato,Siamés,2,Joven,C013
P000189,CU01001,Perro,Border Collie,4,Adulto,C007
P000190,CU03727,Gato,Scottish Fold,5,Adulto,C007
P000191,CU02191,Gato,Birmano,11,Senior,C032
P000192,CU14438,Perro,Golden Retriever,8,Adulto,C008
P000193,CU02990,Perro,Boston Terrier,5,Adulto,C006
P000194,CU01178,Perro,Caniche,8,Adulto,C034
P000195,CU11557,Perro,Bulldog Francés,9,Senior,C006
P000196,CU16174,Gato,Azul Ruso,6,Adulto,C043
P000197,CU00407,Perro,Cocker Spaniel,7,Adulto,C025
P000198,CU08907,Perro,Bulldog Francés,5,Adulto,C021
P000199,CU16525,Perro,Pastor Alemán,6,Adulto,C046
P000200,CU03611,Exótico,Gecko,1,Joven,C035
P000201,CU16490,Gato,Siamés,5,Adulto,C026
P000202,CU01287,Gato,Scottish Fold,4,Adulto,C039
P000203,CU07053,Perro,San Bernardo,3,Adulto,C036
P000204,CU09668,Perro,Boyero de Berna,6,Adulto,C001
P000205,CU05496,Perro,Chihuahua,5,Adulto,C021
P000206,CU09436,Perro,Dachshund,6,Adulto,C015
P000207,CU16394,Perro,Akita,1,Joven,C037
P000208,CU12338,Gato,Maine Coon,2,Joven,C039
P000209,CU03274,Gato,Persa,2,Joven,C050
P000210,CU16867,Gato,Gato Doméstico de Pelo Corto,11,Senior,C021
P000211,CU16337,Perro,Caniche,8,Adulto,C032
P000212,CU09161,Perro,Akita,9,Senior,C025
P000213,CU00770,Perro,Beagle,2,Joven,C039
P000214,CU11544,Perro,Pomerania,9,Senior,C004
P000215,CU17626,Perro,Beagle,2,Joven,C037
P000216,CU12641,Perro,Dachshund,7,Adulto,C008
P000217,CU10107,Perro,Beagle,5,Adulto,C002
P000218,CU05052,Gato,Azul Ruso,2,Joven,C032
P000219,CU14485,Perro,Rottweiler,6,Adulto,C003
P000220,CU08534,Gato,Sphynx,11,Senior,C044
P000221,CU09687,Perro,Rottweiler,2,Joven,C005
P000222,CU10061,Gato,Devon Rex,5,Adulto,C016
P000223,CU02666,Perro,Akita,0,Joven,C023
P000224,CU04444,Exótico,Cacatúa Ninfa,3,Adulto,C005
P000225,CU08556,Perro,Boston Terrier,4,Adulto,C008
P000226,CU04896,Perro,Cocker Spaniel,3,Adulto,C012
P000227,CU09716,Gato,Bosque de Noruega,4,Adulto,C045
P000228,CU16725,Perro,Akita,3,Adulto,C009
P000229,CU05300,Perro,Bulldog Francés,6,Adulto,C037
P000230,CU04108,Exótico,Chinchilla,9,Senior,C038
P000231,CU01827,Gato,Scottish Fold,5,Adulto,C016
P000232,CU07694,Perro,Boston Terrier,5,Adulto,C035
P000233,CU06722,Perro,Golden Retriever,5,Adulto,C010
P000234,CU05657,Perro,Boyero de Berna,4,Adulto,C033
P000235,CU08287,Perro,Shih Tzu,5,Adulto,C006
P000236,CU17433,Gato,Siamés,4,Adulto,C008
P000237,CU02965,Perro,Akita,4,Adulto,C012
P000238,CU07968,Perro,Border Collie,4,Adulto,C031
P000239,CU00846,Gato,Oriental de Pelo Corto,5,Adulto,C029
P000240,CU12331,Gato,Birmano,2,Joven,C023
P000241,CU06611,Perro,Caniche,4,Adulto,C002
P000242,CU03851,Gato,Devon Rex,9,Senior,C015
P000243,CU05079,Perro,Golden Retriever,2,Joven,C016
P000244,CU08801,Perro,Beagle,3,Adulto,C040
P000245,CU10341,Gato,Maine Coon,6,Adulto,C038
P000246,CU15423,Gato,Devon Rex,1,Joven,C035
P000247,CU01550,Perro,Boyero de Berna,4,Adulto,C038
P000248,CU07759,Perro,Basset Hound,1,Joven,C039
P000249,CU14829,Exótico,Hámster,0,Joven,C011
P000250,CU04799,Perro,Basset Hound,2,Joven,C026
P000251,CU10750,Perro,Bóxer,7,Adulto,C035
P000252,CU14057,Gato,Oriental de Pelo Corto,1,Joven,C038
P000253,CU10637,Perro,Pastor Australiano,6,Adulto,C002
P000254,CU16956,Perro,Labrador Retriever,5,Adulto,C010
P000255,CU08907,Perro,Rottweiler,5,Adulto,C015
P000256,CU08081,Perro,San Bernardo,7,Adulto,C045
P000257,CU14917,Gato,Gato Doméstico de Pelo Corto,3,Adulto,C008
P000258,CU03457,Perro,San Bernardo,4,Adulto,C035
P000259,CU02712,Perro,Bóxer,2,Joven,C046
P000260,CU15588,Perro,Chihuahua,8,Adulto,C019
P000261,CU05511,Gato,Persa,8,Adulto,C010
P000262,CU09766,Perro,Cocker Spaniel,7,Adulto,C028
P000263,CU17631,Gato,British Shorthair,0,Joven,C050
P000264,CU11825,Perro,Bulldog Francés,9,Senior,C014
P000265,CU09833,Gato,Scottish Fold,7,Adulto,C010
P000266,CU02197,Perro,Rottweiler,4,Adulto,C002
P000267,CU00781,Perro,Cocker Spaniel,6,Adulto,C011
P000268,CU16906,Perro,Rottweiler,8,Adulto,C018
P000269,CU12233,Perro,Shih Tzu,11,Senior,C022
P000270,CU12276,Perro,Boston Terrier,1,Joven,C044
P000271,CU00686,Perro,Boston Terrier,7,Adulto,C039
P000272,CU10737,Perro,Chihuahua,3,Adulto,C018
P000273,CU02197,Gato,Ragdoll,1,Joven,C032
P000274,CU10774,Perro,Border Collie,5,Adulto,C018
P000275,CU13058,Perro,Chihuahua,1,Joven,C044
P000276,CU10518,Perro,Labrador Retriever,4,Adulto,C003
P000277,CU08895,Perro,Basset Hound,7,Adulto,C047
P000278,CU09497,Gato,Devon Rex,6,Adulto,C008
P000279,CU08554,Perro,Rottweiler,7,Adulto,C001
P000280,CU06020,Perro,Husky Siberiano,2,Joven,C034
P000281,CU11755,Perro,Boston Terrier,7,Adulto,C027
P000282,CU11330,Perro,Border Collie,9,Senior,C009
P000283,CU14934,Gato,Scottish Fold,0,Joven,C031
P000284,CU05111,Perro,Pomerania,1,Joven,C037
P000285,CU17082,Perro,Bulldog Francés,6,Adulto,C035
P000286,CU01829,Gato,Bengalí,6,Adulto,C040
P000287,CU14538,Gato,Maine Coon,3,Adulto,C017
P000288,CU10823,Perro,Shih Tzu,1,Joven,C003
P000289,CU16088,Perro,Basset Hound,4,Adulto,C024
P000290,CU00162,Perro,Pomerania,5,Adulto,C031
P000291,CU11155,Perro,Shih Tzu,6,Adulto,C012
P000292,CU00542,Exótico,Loro,2,Joven,C031
P000293,CU17252,Perro,Cocker Spaniel,2,Joven,C049
P000294,CU10721,Perro,Bóxer,4,Adulto,C049
P000295,CU09519,Exótico,Gecko,2,Joven,C006
P000296,CU01284,Perro,Chihuahua,3,Adulto,C027
P000297,CU01734,Exótico,Gecko,8,Adulto,C016
P000298,CU09029,Perro,Husky Siberiano,0,Joven,C050
P000299,CU14083,Perro,Pastor Australiano,10,Senior,C006
P000300,CU17834,Gato,Scottish Fold,10,Senior,C005
P000301,CU08000,Perro,Pastor Australiano,7,Adulto,C036
P000302,CU15942,Gato,Bosque de Noruega,4,Adulto,C039
P000303,CU05106,Exótico,Tortuga,7,Adulto,C046
P000304,CU14140,Perro,Akita,7,Adulto,C031
P000305,CU01620,Gato,Maine Coon,2,Joven,C014
P000306,CU17016,Exótico,Cacatúa Ninfa,2,Joven,C031
P000307,CU09834,Gato,Bengalí,4,Adulto,C043
P000308,CU02644,Gato,Azul Ruso,2,Joven,C021
P000309,CU14532,Perro,Beagle,4,Adulto,C032
P000310,CU07928,Perro,San Bernardo,4,Adulto,C015
P000311,CU09136,Exótico,Chinchilla,6,Adulto,C014
P000312,CU05433,Perro,Boston Terrier,6,Adulto,C018
P000313,CU01754,Perro,Pastor Australiano,6,Adulto,C012
P000314,CU16377,Perro,Labrador Retriever,4,Adulto,C050
P000315,CU15353,Gato,Sphynx,6,Adulto,C034
P000316,CU06172,Gato,Abisinio,5,Adulto,C039
P000317,CU11862,Perro,Pastor Alemán,4,Adulto,C001
P000318,CU15178,Perro,Pastor Alemán,2,Joven,C022
P000319,CU13369,Gato,Siamés,4,Adulto,C039
P000320,CU08536,Gato,Bengalí,8,Adulto,C010
P000321,CU16995,Perro,Pastor Australiano,3,Adulto,C020
P000322,CU09370,Perro,Shih Tzu,2,Joven,C022
P000323,CU05775,Perro,Boston Terrier,2,Joven,C014
P000324,CU16283,Exótico,Tortuga,6,Adulto,C028
P000325,CU07194,Perro,Pastor Alemán,4,Adulto,C008
P000326,CU17962,Perro,Bulldog,2,Joven,C039
P000327,CU15796,Perro,Maltés,4,Adulto,C011
P000328,CU02552,Perro,Rottweiler,2,Joven,C024
P000329,CU00476,Gato,Ragdoll,8,Adulto,C047
P000330,CU08079,Exótico,Tortuga,6,Adulto,C018
P000331,CU14890,Perro,Bulldog,3,Adulto,C003
P000332,CU11117,Exótico,Hámster,8,Adulto,C043
P000333,CU04136,Perro,Labrador Retriever,4,Adulto,C032
P000334,CU14204,Gato,Ragdoll,4,Adulto,C004
P000335,CU07134,Gato,Bengalí,2,Joven,C001
P000336,CU10103,Perro,Border Collie,8,Adulto,C034
P000337,CU01284,Exótico,Chinchilla,1,Joven,C027
P000338,CU08005,Perro,Labrador Retriever,4,Adulto,C004
P000339,CU03865,Gato,Scottish Fold,5,Adulto,C028
P000340,CU16649,Gato,Siamés,3,Adulto,C006
P000341,CU16300,Exótico,Hámster,4,Adulto,C021
P000342,CU16088,Perro,Golden Retriever,8,Adulto,C012
P000343,CU12764,Perro,Cocker Spaniel,7,Adulto,C033
P000344,CU10786,Perro,Chihuahua,6,Adulto,C018
P000345,CU05434,Gato,Sphynx,0,Joven,C005
P000346,CU11102,Exótico,Cobaya,8,Adulto,C033
P000347,CU01090,Perro,San Bernardo,3,Adulto,C008
P000348,CU03831,Perro,Golden Retriever,6,Adulto,C004
P000349,CU00442,Perro,Bulldog,3,Adulto,C046
P000350,CU08180,Exótico,Gecko,4,Adulto,C017
P000351,CU00393,Gato,Oriental de Pelo Corto,5,Adulto,C006
P000352,CU07419,Perro,Pastor Alemán,7,Adulto,C046
P000353,CU02598,Perro,Boston Terrier,0,Joven,C030
P000354,CU06143,Perro,Bóxer,7,Adulto,C049
P000355,CU08473,Perro,Shih Tzu,4,Adulto,C048
P000356,CU04089,Perro,Pomerania,6,Adulto,C003
P000357,CU09642,Gato,Birmano,2,Joven,C019
P000358,CU04494,Perro,Boston Terrier,8,Adulto,C036
P000359,CU10705,Perro,Labrador Retriever,0,Joven,C011
P000360,CU11241,Perro,Dachshund,4,Adulto,C004
P000361,CU08260,Gato,Siamés,7,Adulto,C041
P000362,CU05375,Perro,Pastor Australiano,10,Senior,C048
P000363,CU09886,Perro,Gran Danés,2,Joven,C020
P000364,CU12133,Perro,Labrador Retriever,5,Adulto,C009
P000365,CU13636,Gato,Siamés,5,Adulto,C045
P000366,CU00343,Perro,Doberman,8,Adulto,C012
P000367,CU06318,Gato,Abisinio,2,Joven,C022
P000368,CU14568,Exótico,Cacatúa Ninfa,3,Adulto,C020
P000369,CU12467,Perro,Beagle,3,Adulto,C012
P000370,CU16301,Exótico,Gecko,3,Adulto,C002
P000371,CU02008,Gato,Sphynx,7,Adulto,C018
P000372,CU06717,Perro,Rottweiler,4,Adulto,C019
P000373,CU12729,Perro,Pastor Australiano,3,Adulto,C048
P000374,CU05809,Perro,Bulldog,11,Senior,C049
P000375,CU17710,Perro,Rottweiler,8,Adulto,C049
P000376,CU17088,Perro,Gran Danés,3,Adulto,C041
P000377,CU05464,Perro,Dachshund,5,Adulto,C039
P000378,CU16567,Gato,Oriental de Pelo Corto,8,Adulto,C011
P000379,CU01518,Exótico,Conejo,9,Senior,C008
P000380,CU12744,Gato,Oriental de Pelo Corto,2,Joven,C012
P000381,CU06589,Perro,Border Collie,7,Adulto,C046
P000382,CU13655,Gato,Devon Rex,6,Adulto,C023
P000383,CU03761,Gato,Siamés,7,Adulto,C033
P000384,CU16978,Perro,Chihuahua,1,Joven,C028
P000385,CU00936,Gato,Gato Doméstico de Pelo Corto,0,Joven,C041
P000386,CU05890,Gato,Abisinio,2,Joven,C010
P000387,CU01843,Perro,Husky Siberiano,1,Joven,C009
P000388,CU07545,Perro,Golden Retriever,5,Adulto,C020
P000389,CU11778,Perro,Golden Retriever,1,Joven,C017
P000390,CU02283,Perro,Border Collie,5,Adulto,C015
P000391,CU05477,Perro,Pastor Australiano,4,Adulto,C024
P000392,CU05625,Perro,Boston Terrier,0,Joven,C043
P000393,CU02659,Perro,Dachshund,8,Adulto,C044
P000394,CU10082,Perro,Golden Retriever,2,Joven,C028
P000395,CU06991,Gato,Sphynx,7,Adulto,C036
P000396,CU10136,Perro,San Bernardo,0,Joven,C028
P000397,CU11173,Gato,Ragdoll,4,Adulto,C020
P000398,CU05907,Perro,Maltés,7,Adulto,C028
P000399,CU17827,Perro,Gran Danés,8,Adulto,C005
P000400,CU13704,Perro,Bóxer,1,Joven,C012
P000401,CU15846,Perro,Bulldog Francés,1,Joven,C026
P000402,CU09371,Perro,Gran Danés,5,Adulto,C027
P000403,CU11827,Perro,Chihuahua,1,Joven,C037
P000404,CU06314,Perro,Golden Retriever,4,Adulto,C023
P000405,CU00786,Gato,Gato Doméstico de Pelo Corto,5,Adulto,C017
P000406,CU03808,Perro,Bulldog Francés,2,Joven,C005
P000407,CU03237,Perro,Border Collie,9,Senior,C023
P000408,CU17331,Perro,Pastor Alemán,5,Adulto,C032
P000409,CU04858,Perro,Shih Tzu,1,Joven,C011
P000410,CU00359,Perro,Labrador Retriever,7,Adulto,C028
P000411,CU15997,Perro,Chihuahua,3,Adulto,C017
P000412,CU02152,Perro,San Bernardo,6,Adulto,C019
P000413,CU12453,Gato,British Shorthair,4,Adulto,C036
P000414,CU10239,Exótico,Loro,3,Adulto,C034
P000415,CU01709,Perro,Boyero de Berna,5,Adulto,C028
P000416,CU07685,Gato,Maine Coon,3,Adulto,C041
P000417,CU00558,Perro,Bulldog,4,Adulto,C048
P000418,CU05868,Gato,Bengalí,1,Joven,C036
P000419,CU07270,Perro,San Bernardo,11,Senior,C050
P000420,CU03537,Gato,Bosque de Noruega,1,Joven,C027
P000421,CU06143,Perro,Beagle,8,Adulto,C032
P000422,CU13128,Perro,Bulldog,4,Adulto,C003
P000423,CU02491,Perro,Chihuahua,6,Adulto,C016
P000424,CU01138,Perro,Boyero de Berna,5,Adulto,C043
P000425,CU03907,Gato,Scottish Fold,9,Senior,C012
P000426,CU06338,Perro,Golden Retriever,8,Adulto,C030
P000427,CU12307,Perro,Pastor Australiano,4,Adulto,C037
P000428,CU09960,Exótico,Gecko,3,Adulto,C009
P000429,CU11391,Gato,Persa,2,Joven,C009
P000430,CU15744,Gato,Devon Rex,5,Adulto,C038
P000431,CU01099,Perro,Golden Retriever,8,Adulto,C032
P000432,CU02093,Exótico,Erizo,10,Senior,C038
P000433,CU05186,Perro,Basset Hound,3,Adulto,C038
P000434,CU07356,Perro,Border Collie,6,Adulto,C047
P000435,CU02556,Gato,Persa,7,Adulto,C029
P000436,CU17973,Gato,Gato Doméstico de Pelo Corto,4,Adulto,C041
P000437,CU00437,Perro,Pomerania,9,Senior,C022
P000438,CU10577,Gato,Bosque de Noruega,1,Joven,C010
P000439,CU15370,Gato,Bengalí,5,Adulto,C014
P000440,CU06556,Perro,Boston Terrier,3,Adulto,C024
P000441,CU13334,Perro,Bulldog Francés,6,Adulto,C018
P000442,CU09228,Perro,Shih Tzu,3,Adulto,C034
P000443,CU04946,Gato,Devon Rex,3,Adulto,C032
P000444,CU11990,Gato,Sphynx,5,Adulto,C024
P000445,CU14088,Perro,Caniche,5,Adulto,C034
P000446,CU04524,Perro,Maltés,1,Joven,C015
P000447,CU10381,Perro,Bulldog,6,Adulto,C037
P000448,CU10641,Gato,Scottish Fold,4,Adulto,C029
P000449,CU12092,Gato,British Shorthair,2,Joven,C021
P000450,CU12181,Gato,Ragdoll,6,Adulto,C033
P000451,CU00523,Exótico,Serpiente,3,Adulto,C019
P000452,CU05843,Gato,Scottish Fold,4,Adulto,C017
P000453,CU17509,Perro,Beagle,0,Joven,C047
P000454,CU01520,Perro,Shih Tzu,5,Adulto,C035
P000455,CU05356,Perro,Beagle,3,Adulto,C013
P000456,CU13412,Gato,Abisinio,9,Senior,C009
P000457,CU02006,Perro,Border Collie,7,Adulto,C036
P000458,CU14610,Gato,Bengalí,4,Adulto,C044
P000459,CU16924,Gato,Bengalí,2,Joven,C043
P000460,CU14563,Gato,Gato Doméstico de Pelo Corto,5,Adulto,C010
P000461,CU02101,Gato,Oriental de Pelo Corto,0,Joven,C022
P000462,CU08017,Perro,Husky Siberiano,1,Joven,C035
P000463,CU08579,Perro,Pastor Australiano,4,Adulto,C029
P000464,CU01402,Perro,Bulldog,6,Adulto,C001
