pet_id,customer_id,pet_type,pet_breed,pet_age,pet_age_group,primary_clinic,visits_per_pet,revenue_per_pet,avg_visit_cost_pet,first_visit_date,last_visit_date,pet_lifetime_days,revenue_per_visit_pet,number_of_pets,total_customer_visits,total_customer_revenue,first_customer_visit,last_customer_visit,customer_lifetime_days
P000055,CU10094,Perro,Labrador Retriever,7,Adulto,C001,36,4212.42,117.01166666666667,2020-01-06,2024-12-26,1816,117.01166666666667,1,36,4212.42,2020-01-06,2024-12-26,1816
P000056,CU12601,Perro,San Bernardo,8,Adulto,C023,20,3972.66,198.63299999999998,2020-03-21,2024-04-26,1497,198.63299999999998,2,60,9509.869999999999,2020-01-02,2024-09-16,1719
P000057,CU10683,Perro,Rottweiler,5,Adulto,C003,24,3331.44,138.81,2020-05-11,2024-12-09,1673,138.81,3,70,10600.57,2020-01-09,2024-12-09,1796
P000058,CU07219,Gato,Devon Rex,4,Adulto,C008,18,2222.55,123.47500000000001,2020-11-09,2024-10-31,1452,123.47500000000001,4,94,12826.789999999999,2020-03-23,2024-12-10,1723
P000059,CU07971,Perro,Shih Tzu,8,Adulto,C016,23,3235.6099999999997,140.6786956521739,2020-03-02,2024-11-13,1717,140.6786956521739,2,55,6670.17,2020-03-02,2024-12-29,1763
P000060,CU08357,Perro,Shih Tzu,6,Adulto,C031,29,5990.82,206.57999999999998,2020-01-17,2024-05-23,1588,206.57999999999998,4,142,28208.73,2020-01-10,2024-12-10,1796
P000061,CU00823,Gato,Sphynx,9,Senior,C021,20,2548.83,127.44149999999999,2020-03-01,2024-11-13,1718,127.44149999999999,3,89,14704.69,2020-02-09,2024-12-06,1762
P000062,CU03453,Gato,Oriental de Pelo Corto,7,Adulto,C018,34,5279.75,155.28676470588235,2020-03-16,2024-12-18,1738,155.28676470588235,1,34,5279.75,2020-03-16,2024-12-18,1738
P000063,CU08706,Exótico,Loro,1,Joven,C002,22,2972.03,135.09227272727273,2020-05-23,2024-12-02,1654,135.09227272727273,1,22,2972.03,2020-05-23,2024-12-02,1654
P000064,CU04567,Perro,Bóxer,2,Joven,C005,88,17966.72,204.16727272727275,2020-01-01,2024-12-29,1824,204.16727272727275,5,247,51427.49,2020-01-01,2024-12-29,1824
P000065,CU00805,Perro,Dachshund,0,Joven,C022,25,3549.08,141.9632,2020-04-21,2024-04-29,1469,141.9632,1,25,3549.08,2020-04-21,2024-04-29,1469
P000066,CU17772,Perro,Husky Siberiano,3,Adulto,C030,24,4638.63,193.27625,2020-01-05,2024-11-15,1776,193.27625,2,49,10512.32,2020-01-05,2024-12-12,1803
P000067,CU02107,Gato,Gato Doméstico de Pelo Corto,11,Senior,C009,29,2090.12,72.07310344827586,2020-02-13,2024-07-20,1619,72.07310344827586,1,29,2090.12,2020-02-13,2024-07-20,1619
P000068,CU02600,Gato,Abisinio,0,Joven,C039,21,3864.37,184.01761904761904,2020-03-04,2024-11-16,1718,184.01761904761904,2,67,15482.46,2020-01-05,2024-12-28,1819
P000069,CU17686,Gato,Maine Coon,8,Adulto,C006,26,3712.6600000000003,142.79461538461538,2020-01-31,2024-12-10,1775,142.79461538461538,1,26,3712.6600000000003,2020-01-31,2024-12-10,1775
P000070,CU05476,Perro,Pastor Alemán,8,Adulto,C017,38,3954.21,104.05815789473684,2020-02-23,2024-12-10,1752,104.05815789473684,2,67,6873.1,2020-02-23,2024-12-10,1752
P000071,CU12876,Perro,Husky Siberiano,3,Adulto,C031,35,7142.860000000001,204.0817142857143,2020-02-27,2024-10-05,1682,204.0817142857143,1,35,7142.860000000001,2020-02-27,2024-10-05,1682
P000072,CU17030,Gato,Siamés,3,Adulto,C012,47,5300.38,112.77404255319149,2020-01-19,2024-11-09,1756,112.77404255319149,3,125,16008.19,2020-01-19,2024-12-20,1797
P000073,CU14061,Gato,Sphynx,8,Adulto,C021,9,396.25,44.02777777777778,2020-03-13,2024-12-25,1748,44.02777777777778,5,145,20988.55,2020-01-10,2024-12-29,1815
P000074,CU03630,Perro,Boyero de Berna,5,Adulto,C043,30,5798.97,193.299,2020-01-11,2024-12-14,1799,193.299,2,55,10839.68,2020-01-11,2024-12-14,1799
P000075,CU11556,Gato,Oriental de Pelo Corto,0,Joven,C036,18,1277.02,70.94555555555556,2020-08-29,2024-12-06,1560,70.94555555555556,3,76,10818.7,2020-06-17,2024-12-06,1633
P000076,CU11047,Gato,Bengalí,2,Joven,C034,13,2417.79,185.98384615384614,2020-07-12,2024-05-08,1396,185.98384615384614,1,13,2417.79,2020-07-12,2024-05-08,1396
P000077,CU02712,Exótico,Loro,0,Joven,C047,13,2685.23,206.55615384615385,2020-05-07,2024-11-06,1644,206.55615384615385,3,109,17984.53,2020-01-01,2024-12-23,1818
P000078,CU15508,Perro,Bóxer,4,Adulto,C043,25,5440.99,217.6396,2020-01-22,2024-12-30,1804,217.6396,2,51,8669.939999999999,2020-01-22,2024-12-30,1804
P000079,CU12113,Perro,Border Collie,6,Adulto,C002,28,5023.72,179.41857142857143,2020-01-02,2024-09-21,1724,179.41857142857143,1,28,5023.72,2020-01-02,2024-09-21,1724
P000080,CU01525,Perro,Rottweiler,1,Joven,C017,33,4534.73,137.4160606060606,2020-01-10,2024-08-23,1687,137.4160606060606,1,33,4534.73,2020-01-10,2024-08-23,1687
P000081,CU01241,Gato,British Shorthair,0,Joven,C003,36,5202.64,144.51777777777778,2020-03-28,2024-12-25,1733,144.51777777777778,1,36,5202.64,2020-03-28,2024-12-25,1733
P000082,CU01253,Perro,Pomerania,3,Adulto,C030,27,5095.22,188.71185185185186,2020-02-21,2024-11-28,1742,188.71185185185186,2,65,11232.89,2020-01-04,2024-12-17,1809
P000083,CU16315,Exótico,Conejo,4,Adulto,C047,6,824.4399999999999,137.40666666666667,2020-07-04,2023-12-16,1260,137.40666666666667,1,6,824.4399999999999,2020-07-04,2023-12-16,1260
P000084,CU01342,Exótico,Cobaya,6,Adulto,C008,9,1132.09,125.78777777777776,2020-10-13,2024-12-02,1511,125.78777777777776,2,32,4961.63,2020-01-04,2024-12-15,1807
P000085,CU12255,Gato,Sphynx,7,Adulto,C008,17,2312.91,136.05352941176469,2020-01-04,2024-12-11,1803,136.05352941176469,5,128,17921.58,2020-01-04,2024-12-15,1807
P000086,CU15897,Exótico,Gecko,9,Senior,C015,25,2091.02,83.6408,2020-02-01,2024-08-15,1657,83.6408,2,44,4459.95,2020-01-08,2024-11-24,1782
P000087,CU13850,Perro,Husky Siberiano,1,Joven,C007,48,9259.4,192.90416666666667,2020-03-22,2024-12-11,1725,192.90416666666667,2,69,11083.06,2020-01-11,2024-12-11,1796
P000088,CU12046,Perro,Beagle,12,Senior,C009,34,6597.76,194.05176470588236,2020-05-10,2024-12-20,1685,194.05176470588236,2,72,10845.94,2020-01-03,2024-12-20,1813
P000089,CU11123,Exótico,Hámster,9,Senior,C031,26,3022.09,116.23423076923078,2020-02-22,2024-05-20,1549,116.23423076923078,3,63,9461.49,2020-02-22,2024-12-15,1758
P000090,CU04498,Perro,Beagle,3,Adulto,C017,21,4781.66,227.69809523809522,2020-01-22,2024-11-16,1760,227.69809523809522,6,191,27332.26,2020-01-10,2024-12-17,1803
P000091,CU09375,Perro,Doberman,1,Joven,C023,20,1945.16,97.25800000000001,2020-01-30,2024-09-17,1692,97.25800000000001,5,144,19209.9,2020-01-03,2024-12-28,1821
P000092,CU12652,Perro,San Bernardo,8,Adulto,C049,23,2602.49,113.15173913043478,2020-01-13,2024-11-08,1761,113.15173913043478,1,23,2602.49,2020-01-13,2024-11-08,1761
P000093,CU11780,Gato,Abisinio,5,Adulto,C045,20,1486.28,74.314,2020-01-30,2024-10-11,1716,74.314,4,96,11553.99,2020-01-27,2024-12-23,1792
P000094,CU13738,Gato,Siamés,10,Senior,C035,25,3333.91,133.3564,2020-04-01,2024-07-23,1574,133.3564,3,138,22397.620000000003,2020-03-13,2024-12-16,1739
P000095,CU00546,Perro,Basset Hound,3,Adulto,C032,26,3764.17,144.77576923076924,2020-03-07,2024-12-04,1733,144.77576923076924,1,26,3764.17,2020-03-07,2024-12-04,1733
P000096,CU03811,Perro,Shih Tzu,1,Joven,C029,33,8164.09,247.39666666666668,2020-03-22,2024-09-19,1642,247.39666666666668,4,79,16056.119999999999,2020-01-17,2024-12-21,1800
P000097,CU08437,Perro,Cocker Spaniel,3,Adulto,C039,32,4088.3599999999997,127.76124999999999,2020-01-20,2024-12-27,1803,127.76124999999999,2,63,8401.66,2020-01-20,2024-12-27,1803
P000098,CU12677,Gato,Gato Doméstico de Pelo Corto,9,Senior,C003,27,3369.05,124.77962962962964,2020-01-30,2024-08-10,1654,124.77962962962964,3,91,11521.29,2020-01-30,2024-11-16,1752
P000099,CU11693,Perro,Maltés,1,Joven,C025,25,5272.75,210.91,2020-03-20,2024-09-22,1647,210.91,1,25,5272.75,2020-03-20,2024-09-22,1647
P000100,CU14287,Perro,Pastor Australiano,2,Joven,C024,66,11181.19,169.4119696969697,2020-01-20,2024-12-22,1798,169.4119696969697,3,113,18693.9,2020-01-20,2024-12-22,1798
P000101,CU09156,Perro,Caniche,7,Adulto,C046,57,9036.25,158.53070175438597,2020-01-05,2024-12-25,1816,158.53070175438597,2,83,11344.28,2020-01-05,2024-12-25,1816
P000102,CU08203,Exótico,Hámster,4,Adulto,C025,11,1351.24,122.84,2020-02-15,2024-11-08,1728,122.84,3,94,12308.35,2020-01-02,2024-11-27,1791
P000103,CU14900,Perro,Rottweiler,5,Adulto,C045,36,6916.83,192.13416666666666,2020-01-13,2024-11-19,1772,192.13416666666666,2,59,10022.93,2020-01-13,2024-12-27,1810
P000104,CU01390,Perro,Pastor Alemán,6,Adulto,C026,21,3893.4300000000003,185.4014285714286,2020-03-15,2024-11-03,1694,185.4014285714286,2,54,9279.23,2020-01-04,2024-11-03,1765
P000105,CU17321,Perro,Golden Retriever,6,Adulto,C047,22,4767.95,216.725,2020-01-20,2024-11-28,1774,216.725,4,83,16233.060000000001,2020-01-04,2024-11-28,1790
P000106,CU00727,Gato,Persa,6,Adulto,C020,11,1180.78,107.34363636363636,2020-05-23,2024-11-15,1637,107.34363636363636,1,11,1180.78,2020-05-23,2024-11-15,1637
P000107,CU10107,Perro,Maltés,5,Adulto,C003,41,7878.349999999999,192.15487804878046,2020-03-06,2024-12-04,1734,192.15487804878046,3,95,19140.16,2020-01-24,2024-12-19,1791
P000108,CU07907,Perro,San Bernardo,4,Adulto,C047,16,3899.08,243.6925,2020-01-05,2024-10-20,1750,243.6925,3,97,12789.57,2020-01-05,2024-12-22,1813
P000109,CU04676,Perro,Pastor Alemán,0,Joven,C028,28,4028.61,143.8789285714286,2020-05-08,2024-12-31,1698,143.8789285714286,1,28,4028.61,2020-05-08,2024-12-31,1698
P000110,CU17603,Exótico,Gecko,2,Joven,C042,15,2913.5699999999997,194.23799999999997,2020-02-11,2024-09-14,1677,194.23799999999997,3,60,7496.9,2020-01-16,2024-11-13,1763
P000111,CU13775,Gato,Ragdoll,2,Joven,C015,18,2515.7200000000003,139.76222222222225,2020-02-12,2024-11-19,1742,139.76222222222225,1,18,2515.7200000000003,2020-02-12,2024-11-19,1742
P000112,CU04134,Perro,Caniche,7,Adulto,C048,23,2923.64,127.11478260869565,2020-02-08,2024-12-31,1788,127.11478260869565,2,41,6649.85,2020-02-08,2024-12-31,1788
P000113,CU13914,Perro,Caniche,7,Adulto,C005,73,12543.119999999999,171.8235616438356,2020-01-17,2024-11-25,1774,171.8235616438356,3,120,18894.87,2020-01-17,2024-11-25,1774
P000114,CU12881,Perro,Border Collie,1,Joven,C032,17,2654.3500000000004,156.13823529411766,2020-01-09,2024-11-18,1775,156.13823529411766,3,75,11015.07,2020-01-01,2024-11-18,1783
P000115,CU16702,Perro,Golden Retriever,8,Adulto,C027,49,7661.31,156.35326530612247,2020-01-11,2024-12-29,1814,156.35326530612247,1,49,7661.31,2020-01-11,2024-12-29,1814
P000116,CU01313,Gato,Persa,1,Joven,C016,19,1870.96,98.47157894736843,2020-03-22,2024-12-29,1743,98.47157894736843,1,19,1870.96,2020-03-22,2024-12-29,1743
P000117,CU02140,Gato,Azul Ruso,3,Adulto,C045,23,2979.16,129.5286956521739,2020-05-17,2024-12-25,1683,129.5286956521739,2,35,5411.32,2020-05-17,2024-12-25,1683
P000118,CU13482,Perro,Bulldog,2,Joven,C007,67,8215.62,122.62119402985076,2020-02-04,2024-12-10,1771,122.62119402985076,4,132,15394.28,2020-02-04,2024-12-10,1771
P000119,CU16107,Exótico,Serpiente,3,Adulto,C030,8,1607.99,200.99875,2020-03-12,2024-08-09,1611,200.99875,1,8,1607.99,2020-03-12,2024-08-09,1611
P000120,CU09767,Perro,Bulldog Francés,2,Joven,C002,38,4161.61,109.51605263157894,2020-02-09,2024-12-07,1763,109.51605263157894,2,58,6614.849999999999,2020-02-09,2024-12-13,1769
P000121,CU16078,Gato,Birmano,5,Adulto,C017,17,1417.86,83.4035294117647,2020-03-05,2024-12-29,1760,83.4035294117647,3,53,5561.01,2020-02-07,2024-12-29,1787
P000122,CU07010,Gato,British Shorthair,5,Adulto,C045,19,2781.03,146.37,2020-02-24,2024-11-17,1728,146.37,2,27,4053.5600000000004,2020-02-24,2024-11-17,1728
P000123,CU01008,Perro,Beagle,6,Adulto,C028,27,4307.0,159.5185185185185,2020-01-13,2024-12-03,1786,159.5185185185185,4,158,23049.25,2020-01-13,2024-12-22,1805
P000124,CU00572,Perro,Caniche,5,Adulto,C029,32,4239.29,132.4778125,2020-02-09,2024-12-30,1786,132.4778125,3,107,18222.06,2020-01-14,2024-12-30,1812
P000125,CU16662,Exótico,Hurón,4,Adulto,C017,20,2516.73,125.8365,2020-02-28,2024-07-12,1596,125.8365,3,114,13280.05,2020-02-18,2024-12-28,1775
P000126,CU14860,Perro,Husky Siberiano,3,Adulto,C001,30,3191.64,106.38799999999999,2020-02-26,2024-05-27,1552,106.38799999999999,2,92,9659.92,2020-02-26,2024-10-24,1702
P000127,CU11384,Perro,Maltés,11,Senior,C012,78,11594.56,148.64820512820512,2020-02-13,2024-12-19,1771,148.64820512820512,2,105,15619.3,2020-02-13,2024-12-19,1771
P000128,CU11297,Perro,Chihuahua,2,Joven,C032,23,2467.69,107.29086956521739,2020-05-08,2024-11-21,1658,107.29086956521739,2,37,3665.73,2020-01-31,2024-12-17,1782
P000129,CU11802,Perro,Pastor Alemán,1,Joven,C029,35,5291.24,151.17828571428572,2020-02-21,2024-12-26,1770,151.17828571428572,4,95,14817.32,2020-01-08,2024-12-26,1814
P000130,CU10397,Perro,Pastor Alemán,4,Adulto,C047,17,1959.32,115.25411764705882,2020-03-04,2024-07-07,1586,115.25411764705882,3,118,14640.36,2020-01-08,2024-11-20,1778
P000131,CU13262,Perro,Gran Danés,4,Adulto,C021,20,4000.4,200.02,2020-06-10,2024-11-08,1612,200.02,2,60,9543.2,2020-01-15,2024-11-30,1781
P000132,CU06447,Perro,Bóxer,1,Joven,C006,46,8777.26,190.81,2020-01-31,2024-12-17,1782,190.81,3,126,21453.53,2020-01-31,2024-12-17,1782
P000133,CU01683,Perro,Golden Retriever,1,Joven,C038,43,10344.24,240.56372093023256,2020-01-01,2024-12-20,1815,240.56372093023256,1,43,10344.24,2020-01-01,2024-12-20,1815
P000134,CU11426,Perro,Pastor Australiano,1,Joven,C025,31,4882.15,157.48870967741934,2020-02-19,2024-12-22,1768,157.48870967741934,1,31,4882.15,2020-02-19,2024-12-22,1768
P000135,CU17176,Perro,Chihuahua,12,Senior,C046,85,10057.29,118.32105882352943,2020-02-07,2024-11-11,1739,118.32105882352943,2,112,14558.77,2020-02-07,2024-11-11,1739
P000136,CU17369,Gato,Ragdoll,0,Joven,C008,32,4109.34,128.416875,2020-02-12,2024-10-06,1698,128.416875,2,61,8631.580000000002,2020-02-12,2024-12-29,1782
P000137,CU08783,Perro,Maltés,6,Adulto,C044,32,5186.94,162.091875,2020-04-09,2024-11-19,1685,162.091875,4,118,18113.19,2020-02-19,2024-12-14,1760
P000138,CU08885,Exótico,Chinchilla,8,Adulto,C003,15,1707.23,113.81533333333333,2020-09-20,2024-07-18,1397,113.81533333333333,1,15,1707.23,2020-09-20,2024-07-18,1397
P000139,CU15252,Gato,Abisinio,0,Joven,C009,17,1877.05,110.41470588235293,2020-02-11,2024-10-27,1720,110.41470588235293,3,108,17363.05,2020-01-06,2024-12-21,1811
P000140,CU05798,Perro,Boyero de Berna,6,Adulto,C002,26,3776.34,145.24384615384616,2020-04-08,2024-12-23,1720,145.24384615384616,5,129,21432.9,2020-01-06,2024-12-26,1816
P000141,CU16968,Perro,Border Collie,4,Adulto,C030,42,6708.09,159.71642857142857,2020-02-22,2024-12-29,1772,159.71642857142857,2,56,8882.89,2020-02-21,2024-12-29,1773
P000142,CU17774,Exótico,Cacatúa Ninfa,1,Joven,C032,14,2055.27,146.805,2020-02-07,2024-08-22,1658,146.805,3,99,17725.89,2020-02-06,2024-12-14,1773
P000143,CU06155,Gato,Gato Doméstico de Pelo Corto,7,Adulto,C041,17,1491.07,87.71,2020-04-24,2024-11-20,1671,87.71,1,17,1491.07,2020-04-24,2024-11-20,1671
